structure,n_tokens,ada_embedding,Cluster
" Voici un plan générique pour la structure sémantique du TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Problématique 
        - Présentation du problème
        - Enjeux
        - Conséquences
    - Solution proposée
        - Présentation de la solution
        - Avantages
        - Résultats
    - Appel à l'action
        - Justification
        - Invitation à agir
            
Conclusion    
    - Résumé des points clés 
    - Ouverture/Perspective
    - Conclusion percutante",251,"[-0.00864198  0.00379017  0.00692006 ... -0.02286402 -0.02483193
 -0.03026958]",1
" Voici la structure générique que j'ai identifiée dans le texte :

Introduction
    - Anecdote personnelle
    - Explication de la réflexion ayant mené au sujet du talk

Corps du Talk
    - Présentation du sujet principal 
    - Explication détaillée et exemples concrets sur le sujet
    - Résultats de recherches sur le sujet
    - Conclusions tirées des recherches
    - Illustrations visuelles appuyant le propos

Conclusion
    - Synthèse des points clés 
    - Ouverture sur des perspectives futures
    - Remerciements",182,"[-0.01420192  0.02429276  0.01451122 ... -0.03794052 -0.02607122
 -0.0360074 ]",1
" Voici une proposition de structure générique pour ce TED talk :

Introduction
    - Présentation du sujet
    - Annonce du plan
        
Corps du Talk
    - Présentation d'un contexte historique
    - Exposé de faits/données sur le sujet
    - Témoignage personnel 
    - Appel à l'action
        
Conclusion 
    - Résumé des points clés
    - Ouverture/perspective",149,"[-0.01094188  0.00732022  0.00135011 ... -0.02048637 -0.01816595
 -0.01507633]",2
"Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk 
    - Point 1 : Contexte et enjeux
    - Point 2 : Éléments clés 
    - Point 3 : Perspectives et opportunités
    - Point 4 : Annonce de l'initiative

Conclusion
    - Rappel des points clés
    - Ouverture sur l'avenir
    - Invitation à participer

Cette structure permet de présenter de manière logique :
- Une introduction avec accroche, sujet et annonce du plan
- Un développement structuré en points clés 
- Une conclusion avec rappel, ouverture et invitation

Le contenu de chaque partie peut être adapté à n'importe quel autre sujet de talk en suivant ce plan. Les intitulés des points sont suffisamment génériques pour s'adapter à différents sujets et contenus, tout en fournissant une structure claire.",304,"[-0.0077597  -0.0008454   0.00389592 ... -0.01697232 -0.01540367
 -0.02449415]",0
" Voici une structure générique pour ce TED talk:

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk 
    - Présentation du problème
    - Exemples concrets
    - Solutions possibles
    - Appel à l'action

Conclusion
    - Résumé 
    - Message d'espoir
    - Ouverture",127,"[-0.01226795  0.01056122  0.00280071 ... -0.03138851 -0.02090428
 -0.02403543]",2
" Voici un plan générique pour la structure sémantique du TED Talk ""Don't eat the marshmallow!"":

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Explication de l'expérience
        - Contexte
        - Méthode
        - Résultats
    - Analyse et interprétation des résultats
        - Conséquences observées
        - Liens avec d'autres concepts
    - Illustrations concrètes
        - Exemples
        - Témoignages
        - Anecdotes

Conclusion
    - Résumé des points clés
    - Ouverture sur des perspectives futures
    - Message à retenir",255,"[-0.0157063   0.00502092  0.01744418 ... -0.01433428 -0.02780615
 -0.03674385]",1
" Voici une structure générique possible pour ce TED talk :

Introduction
    - Présenter le sujet
    - Expliquer la position initiale par rapport au sujet

Corps du Talk 
    - Présenter les données/informations qui remettent en question la position initiale
    - Détailler les implications positives de ces nouvelles données/informations
    - Expliquer en quoi cela change la perspective sur le sujet

Conclusion
    - Résumer les points clés 
    - Proposer une nouvelle vision positive du sujet
    - Appel à l'action pour concrétiser cette nouvelle vision",183,"[-0.00724131  0.00025902  0.00429629 ... -0.0128016  -0.03437036
 -0.01501279]",2
" Voici une structure générique possible pour ce TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Présentation du problème 

Corps du Talk
    - Explication du problème
    - Solutions existantes et leurs limites
    - Présentation de la nouvelle solution
        - Comment elle fonctionne
        - Ses avantages
    - Appel à l'action

Conclusion 
    - Résumé 
    - Projection dans le futur
    - Remerciements",174,"[-0.00542028  0.01160197  0.00585906 ... -0.02919206 -0.02295874
 -0.01986144]",2
" Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Présentation du plan

Corps du Talk  
    - Proposition de solution ou d'idée
    - Explication détaillée
        - Origine de l'idée 
        - Mise en oeuvre 
            - Étapes clés
            - Difficultés
            - Résultats
    - Impact et bénéfices

Conclusion
    - Synthèse 
    - Message à retenir
    - Appel à l'action

Cette structure permet de présenter une problématique, d'exposer une solution ou une idée pour y répondre, d'en détailler la mise en œuvre concrète et les résultats, pour finir par un appel à faire quelque chose. Elle est assez générique pour pouvoir être réutilisée sur de nombreux sujets, en adaptant les contenus. Le plan est structuré logiquement pour exposer une idée et convaincre.",347,"[-0.01173949  0.00372189  0.00258705 ... -0.01423357 -0.03577628
 -0.02551785]",0
"Voici la structure générique proposée :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk 
    - Point 1 : données/faits sur le sujet
    - Point 2 : exemples concrets
    - Point 3 : analyse/interprétation
    - Point 4 : solutions/recommandations

Conclusion
    - Synthèse 
    - Ouverture/perspective",135,"[-0.00861987  0.02061859  0.00797354 ... -0.01896756 -0.02936005
 -0.01844282]",4
