structure,n_tokens,ada_embedding,Cluster
" Voici une proposition de structure sémantique générique pour ce TED talk :

{Introduction 
{présentation du contexte, présentation du sujet principal},

Corps
{point principal 1, arguments et exemples},
{point principal 2, arguments et exemples}, 
{point principal 3, arguments et exemples},

Conclusion
{résumé des points principaux, appel à l'action}
}

L'introduction présente le contexte général et introduit le sujet principal du talk. 

Le corps développe les différents points principaux, chacun soutenu par des arguments et des exemples concrets.

La conclusion résume les idées clés et lance un appel à l'action en lien avec le sujet.

Cette structure générique pourrait être réutilisée en adaptant les points principaux, les arguments et les exemples à un nouveau sujet, tout en gardant la même construction en introduction, développement et conclusion. Les informations sur le thème, le ton et les sources pourraient être intégrées dans les différentes parties.",299,"[-0.00142583  0.0103825   0.00663149 ... -0.02539937 -0.02584744
 -0.02734529]",0
" Voici une proposition de structure sémantique générique pour ce TED Talk :

{Introduction 
    {Remerciements, Anecdote personnelle},
Corps
    {Rappel des points clés du précédent talk,
        {Point clé 1, Exemple/Anecdote},
        {Point clé 2, Exemple/Anecdote},
        {Point clé 3, Exemple/Anecdote}
    },
Actions concrètes  
    {Appel à l'action individuelle,
        {Action 1, Explication},
        {Action 2, Explication},
        {Action 3, Explication}
    },
    {Appel à l'action collective,
        {Action 1, Explication}, 
        {Action 2, Explication},
        {Action 3, Explication}
    }
Conclusion    
    {Message d'espoir, Appel à l'unité}
}

Cette structure capture l'introduction avec les remerciements et une anecdote personnelle, le corps qui résume les points clés et donne des exemples/anecdotes, la partie sur les actions concrètes individuelles et collectives, et une conclusion avec un message d'espoir et un appel à l'unité. Le schéma est assez détaillé sur la structure en sections et sous-",413,"[-0.01588502  0.00630941  0.01651465 ... -0.03641355 -0.01650153
 -0.03142899]",1
" Voici une proposition de structure sémantique générique pour ce TED talk :

{Introduction
   {Accroche humoristique},
   {Présentation du sujet},
   {Problématique}
},

{Corps
   {Causes du problème}, 
   {Exemples concrets},
   {Solutions possibles}
},

{Conclusion
   {Synthèse},
   {Message final}
}

L'introduction comporte une accroche humoristique pour capter l'attention, une présentation du sujet traité et la problématique abordée. 

Le corps développe les causes du problème évoqué, donne des exemples concrets et propose des solutions possibles.

Enfin, la conclusion fait une synthèse et lance un message final.

Cette structure peut être réutilisée en adaptant le contenu à un nouveau thème, ton et sources d'information, tout en conservant la progression logique et impactante du discours.",274,"[-0.00821211  0.00972487  0.00299056 ... -0.01847089 -0.02228457
 -0.03002632]",1
" Voici une proposition de structure sémantique générique pour ce TED talk :

{Introduction 
{Présentation de l'orateur et du contexte},
{Problématique et thèse défendue}
},

{Corps
{Récit personnel illustrant la problématique}, 
{Données et statistiques appuyant la thèse},
{Exemples concrets de solutions possibles},
{Appel à l'action}
},

{Conclusion
{Rappel de la thèse},
{Projection positive sur l'avenir}, 
{Remerciements}
}

Cette structure décrit les grandes parties du talk (introduction, corps, conclusion) et les sous-parties importantes dans chacune d'elle. Elle est assez générique pour être réutilisée avec d'autres thèmes, tons et sources d'informations, en adaptant le contenu des sous-parties mais en conservant la structure.",253,"[-0.00036228  0.0061923   0.01072389 ... -0.02160226 -0.02814215
 -0.02796192]",0
" Voici une structure sémantique générique pour un TED talk :

{Introduction 
{Accroche, Présentation du sujet, Présentation du contexte},

Corps
{Partie 1 {Point 1, Point 2, Point 3},
Partie 2 {Point A, Point B, Point C},
Partie 3 {Exemple 1, Exemple 2}},

Conclusion  
{Résumé, Message final, Ouverture}}

Cette structure comprend :
- Une introduction avec une accroche pour capter l'attention, une présentation du sujet traité et du contexte.

- Un corps organisé en différentes parties, chacune composée de plusieurs points ou exemples. 

- Une conclusion pour résumer les idées principales, donner un message final et une ouverture.

Le niveau de détail peut être adapté selon les besoins, avec plus ou moins de parties et de sous-points. L'important est d'avoir une structure logique et cohérente.",274,"[-0.01031441  0.01439073  0.01276147 ... -0.02999864 -0.01508807
 -0.03400522]",0
" Voici une proposition de structure sémantique générique pour ce TED talk :

{Introduction 
{accroche, présentation du thème, annonce du plan},

Corps
{anecdote personnelle, 
points clés 1 {sous-point a, sous-point b},
point clé 2,
point clé 3 {sous-point x, sous-point y},
exemples concrets},

Conclusion  
{résumé des points clés, 
ouverture, 
remerciements}
}

L'introduction comporte une accroche pour capter l'attention, la présentation du thème traité et l'annonce du plan qui va être suivi. 

Le corps développe plusieurs points clés étayés par des exemples concrets. Il commence par une anecdote personnelle qui illustre le propos.

La conclusion résume les idées clés, ouvre sur de nouvelles perspectives et remercie l'audience.

Cette structure type peut être adaptée à différents talks en fonction du thème, du ton souhaité et des informations à transmettre, tout en conservant une cohérence d'ensemble. Les points clés et exemples seraient bien sûr à",332,"[-0.01282241  0.00376067  0.01590978 ... -0.02748411 -0.02224216
 -0.03515653]",1
" Voici la structure sémantique générique que j'ai identifiée dans ce texte :

{Introduction 
{Présentation de l'orateur, Contexte de l'histoire},

Corps
{Anecdote 1 - Âge de raison, 
Anecdote 2 - Anniversaire décalé,
Anecdote 3 - Visite des missionnaires mormons},

Conclusion  
{Réflexion sur ses croyances, Mise en perspective}}

Cette structure pourrait être réutilisée pour écrire un nouveau talk en remplaçant les éléments spécifiques (anecdotes, réflexion) par de nouvelles informations, tout en conservant la progression logique introduction - corps - conclusion. Le ton humoristique et autobiographique pourrait également être reproduit.",217,"[-0.00191777  0.00295569  0.01771456 ... -0.02106455 -0.01448188
 -0.0326657 ]",2
" Voici une proposition de structure sémantique générique pour un TED Talk :

{Introduction
   {Titre du talk, Nom du speaker, Contexte},
   {Présentation du sujet et des idées principales en quelques phrases}
},

{Corps
   {Projet 1
      {Description du projet, Contraintes, Concept/idée clé, Images}
   },
   {Projet 2  
      {Description du projet, Contraintes, Concept/idée clé, Images}
   }, 
   {Projet 3
      {Description du projet, Contraintes, Concept/idée clé, Images}
   }
},

{Conclusion
   {Résumé des idées clés}, 
   {Perspectives futures},
   {Remerciements}
}

L'idée est d'avoir une introduction qui pose le contexte, présente brièvement le sujet et les idées clés qui vont être développées. 

Le corps présente en détail chaque projet ou idée, en décrivant le projet, les contraintes, le concept clé et en montrant des images. 

La conclusion résume les idées principales, donne des perspectives sur le futur et remercie le public.

Ce modèle pourrait être réutilisé en changeant les projets/idées",378,"[-0.00726382  0.00823276 -0.00114861 ... -0.02494853 -0.01978942
 -0.02601372]",0
" Voici une proposition de structure sémantique générique pour ce TED Talk :

{Introduction 
  {Accroche, Présentation du sujet, Annonce du plan},
Corps
  {Point 1 
    {Explication, Exemples},
  Point 2
    {Explication, Exemples},
  Point 3
    {Explication, Exemples}
  },
Conclusion 
  {Résumé des points clés, Appel à l'action}
}

L'introduction présente le sujet de manière accrocheuse, explique brièvement de quoi il s'agit et annonce le plan qui sera suivi. 

Le corps développe les différents points clés du sujet, chacun étant expliqué et illustré par des exemples concrets. 

Enfin, la conclusion résume les idées principales et lance un appel à l'action ou une ouverture.

Cette structure générique permet d'organiser les informations et les idées de manière logique dans un talk, et peut être réutilisée pour différents sujets en adaptant les points clés et exemples. En fournissant le thème, le ton souhaité et les sources d'information, on peut écrire un nouveau talk en suivant ce",352,"[-0.01055328  0.0080577   0.00332316 ... -0.02466067 -0.02666226
 -0.02408329]",0
" Voici une proposition de structure sémantique générique pour ce TED talk :

{Introduction 
{Accroche pour capter l'attention, Présentation du conférencier et du sujet},

Corps
{Anecdote personnelle, 
Point de vue sur le sujet,
Exemples et références pour appuyer le point de vue,
Question rhétorique pour amener à réfléchir},

Conclusion
{Résumé du point de vue, 
Appel à l'action pour le public}}

Cette structure met en évidence les différentes parties du talk : une introduction pour présenter le conférencier et capter l'attention, un corps organisé autour d'un point de vue illustré par des exemples et une question rhétorique, et une conclusion avec un résumé et un appel à l'action. 

Les accolades permettent de voir la structure de manière hiérarchique. Le niveau de détail est suffisant pour comprendre le déroulement du talk de manière générique et pouvoir s'en inspirer pour en écrire un nouveau sur un autre thème ou avec une autre source d'information. Il suffirait de remplacer le contenu",328,"[-0.00734638  0.00490408  0.01347162 ... -0.02961937 -0.02321483
 -0.02902178]",1
